mapping_type,source_value,internal_category_l1,internal_category_l2,internal_category_l3,unspsc_segment_code,confidence
SUPPLIER,Telstra,IT,Telecommunications,Mobile Fleet,43,0.95
SUPPLIER,Optus,IT,Telecommunications,Mobile Fleet,43,0.95
SUPPLIER,Vodafone,IT,Telecommunications,Mobile Fleet,43,0.90
SUPPLIER,TPG Telecom,IT,Telecommunications,Fixed Line,43,0.90
SUPPLIER,Vocus,IT,Telecommunications,Fixed Line,43,0.88
SUPPLIER,Microsoft,IT,Software,Productivity Software,43,0.97
SUPPLIER,Adobe,IT,Software,Creative Software,43,0.97
SUPPLIER,Salesforce,IT,Software,CRM Software,43,0.95
SUPPLIER,SAP,IT,Software,ERP Software,43,0.95
SUPPLIER,Oracle,IT,Software,Database Software,43,0.93
SUPPLIER,AWS,IT,Cloud Services,Infrastructure,43,0.95
SUPPLIER,Amazon Web Services,IT,Cloud Services,Infrastructure,43,0.95
SUPPLIER,Google Cloud,IT,Cloud Services,Infrastructure,43,0.93
SUPPLIER,Microsoft Azure,IT,Cloud Services,Infrastructure,43,0.93
SUPPLIER,Dell,IT,Hardware,Computers,43,0.95
SUPPLIER,HP,IT,Hardware,Computers,43,0.93
SUPPLIER,Lenovo,IT,Hardware,Computers,43,0.93
SUPPLIER,Apple,IT,Hardware,Mobile Devices,43,0.93
SUPPLIER,Cisco,IT,Network Equipment,Switches and Routers,43,0.95
SUPPLIER,DHL,Logistics,Freight,International Freight,78,0.97
SUPPLIER,FedEx,Logistics,Freight,International Freight,78,0.97
SUPPLIER,TNT,Logistics,Freight,International Freight,78,0.95
SUPPLIER,UPS,Logistics,Freight,International Freight,78,0.95
SUPPLIER,Australia Post,Logistics,Freight,Domestic Mail,78,0.95
SUPPLIER,StarTrack,Logistics,Freight,Domestic Freight,78,0.95
SUPPLIER,Toll Group,Logistics,Freight,Domestic Freight,78,0.93
SUPPLIER,Linfox,Logistics,Warehousing,Contract Logistics,78,0.93
SUPPLIER,Mainfreight,Logistics,Freight,Domestic Freight,78,0.90
SUPPLIER,DB Schenker,Logistics,Freight,International Freight,78,0.90
SUPPLIER,Sodexo,Facilities,Catering,Staff Catering,50,0.97
SUPPLIER,Compass Group,Facilities,Catering,Staff Catering,50,0.97
SUPPLIER,Spotless,Facilities,Cleaning,Commercial Cleaning,76,0.93
SUPPLIER,ISS Facility Services,Facilities,Cleaning,Commercial Cleaning,76,0.95
SUPPLIER,Broadspectrum,Facilities,Maintenance,Building Maintenance,72,0.90
SUPPLIER,Programmed,Facilities,Maintenance,Building Maintenance,72,0.88
SUPPLIER,CBRE,Facilities,Property,Property Management,72,0.90
SUPPLIER,JLL,Facilities,Property,Property Management,72,0.90
SUPPLIER,Cushman & Wakefield,Facilities,Property,Property Management,72,0.88
SUPPLIER,Officeworks,Office Supplies,Stationery,General Stationery,44,0.97
SUPPLIER,Staples,Office Supplies,Stationery,General Stationery,44,0.97
SUPPLIER,OfficeMax,Office Supplies,Stationery,General Stationery,44,0.95
SUPPLIER,Cartridge World,Office Supplies,Print Consumables,Toner and Ink,44,0.95
SUPPLIER,Fuji Xerox,Office Supplies,Print Equipment,Printers,44,0.93
SUPPLIER,Konica Minolta,Office Supplies,Print Equipment,Copiers,44,0.93
SUPPLIER,Deloitte,Professional Services,Consulting,Management Consulting,80,0.95
SUPPLIER,KPMG,Professional Services,Consulting,Management Consulting,80,0.95
SUPPLIER,PwC,Professional Services,Consulting,Management Consulting,80,0.95
SUPPLIER,EY,Professional Services,Consulting,Management Consulting,80,0.95
SUPPLIER,McKinsey,Professional Services,Consulting,Strategy Consulting,80,0.97
SUPPLIER,BCG,Professional Services,Consulting,Strategy Consulting,80,0.97
SUPPLIER,Allens,Professional Services,Legal,Corporate Law,80,0.95
SUPPLIER,King & Wood Mallesons,Professional Services,Legal,Corporate Law,80,0.95
SUPPLIER,Herbert Smith Freehills,Professional Services,Legal,Corporate Law,80,0.95
SUPPLIER,Clayton Utz,Professional Services,Legal,Corporate Law,80,0.93
SUPPLIER,Hays,Professional Services,Recruitment,Temporary Staffing,80,0.95
SUPPLIER,Michael Page,Professional Services,Recruitment,Permanent Recruitment,80,0.95
SUPPLIER,Robert Half,Professional Services,Recruitment,Professional Staffing,80,0.93
SUPPLIER,Manpower,Professional Services,Recruitment,Temporary Staffing,80,0.93
SUPPLIER,Adecco,Professional Services,Recruitment,Temporary Staffing,80,0.93
SUPPLIER,Aurecon,Professional Services,Engineering,Civil Engineering,81,0.95
SUPPLIER,AECOM,Professional Services,Engineering,Engineering Consulting,81,0.95
SUPPLIER,Jacobs,Professional Services,Engineering,Engineering Consulting,81,0.93
SUPPLIER,GHD,Professional Services,Engineering,Engineering Consulting,81,0.93
SUPPLIER,Arup,Professional Services,Engineering,Structural Engineering,81,0.93
