year_month,from_ccy,to_ccy,rate
2023-01,AUD,USD,0.662
2023-01,USD,AUD,1.510574
2023-01,AUD,EUR,0.581
2023-01,EUR,AUD,1.72117
2023-01,AUD,GBP,0.511
2023-01,GBP,AUD,1.956947
2023-01,AUD,SGD,0.8656
2023-01,SGD,AUD,1.155268
2023-01,AUD,NZD,1.1068
2023-01,NZD,AUD,0.903506
2023-01,AUD,JPY,96.767
2023-01,JPY,AUD,0.010334
2023-01,AUD,CNY,4.7677
2023-01,CNY,AUD,0.209745
2023-02,AUD,USD,0.6343
2023-02,USD,AUD,1.576541
2023-02,AUD,EUR,0.5969
2023-02,EUR,AUD,1.675322
2023-02,AUD,GBP,0.5012
2023-02,GBP,AUD,1.995211
2023-02,AUD,SGD,0.8653
2023-02,SGD,AUD,1.155669
2023-02,AUD,NZD,1.0953
2023-02,NZD,AUD,0.912992
2023-02,AUD,JPY,90.2654
2023-02,JPY,AUD,0.011078
2023-02,AUD,CNY,4.5597
2023-02,CNY,AUD,0.219313
2023-03,AUD,USD,0.6625
2023-03,USD,AUD,1.509434
2023-03,AUD,EUR,0.6018
2023-03,EUR,AUD,1.661682
2023-03,AUD,GBP,0.5088
2023-03,GBP,AUD,1.965409
2023-03,AUD,SGD,0.8912
2023-03,SGD,AUD,1.122083
2023-03,AUD,NZD,1.1105
2023-03,NZD,AUD,0.900495
2023-03,AUD,JPY,90.065
2023-03,JPY,AUD,0.011103
2023-03,AUD,CNY,4.7417
2023-03,CNY,AUD,0.210895
2023-04,AUD,USD,0.6649
2023-04,USD,AUD,1.503986
2023-04,AUD,EUR,0.5936
2023-04,EUR,AUD,1.684636
2023-04,AUD,GBP,0.5062
2023-04,GBP,AUD,1.975504
2023-04,AUD,SGD,0.917
2023-04,SGD,AUD,1.090513
2023-04,AUD,NZD,1.0868
2023-04,NZD,AUD,0.920132
2023-04,AUD,JPY,90.9275
2023-04,JPY,AUD,0.010998
2023-04,AUD,CNY,4.529
2023-04,CNY,AUD,0.220799
2023-05,AUD,USD,0.6724
2023-05,USD,AUD,1.48721
2023-05,AUD,EUR,0.6041
2023-05,EUR,AUD,1.655355
2023-05,AUD,GBP,0.5323
2023-05,GBP,AUD,1.87864
2023-05,AUD,SGD,0.9011
2023-05,SGD,AUD,1.109755
2023-05,AUD,NZD,1.0968
2023-05,NZD,AUD,0.911743
2023-05,AUD,JPY,99.7312
2023-05,JPY,AUD,0.010027
2023-05,AUD,CNY,4.6136
2023-05,CNY,AUD,0.21675
2023-06,AUD,USD,0.6576
2023-06,USD,AUD,1.520681
2023-06,AUD,EUR,0.6132
2023-06,EUR,AUD,1.630789
2023-06,AUD,GBP,0.5247
2023-06,GBP,AUD,1.905851
2023-06,AUD,SGD,0.9103
2023-06,SGD,AUD,1.098539
2023-06,AUD,NZD,1.0989
2023-06,NZD,AUD,0.910001
2023-06,AUD,JPY,97.0457
2023-06,JPY,AUD,0.010304
2023-06,AUD,CNY,4.5137
2023-06,CNY,AUD,0.221548
2023-07,AUD,USD,0.6414
2023-07,USD,AUD,1.559089
2023-07,AUD,EUR,0.5916
2023-07,EUR,AUD,1.690331
2023-07,AUD,GBP,0.5032
2023-07,GBP,AUD,1.987281
2023-07,AUD,SGD,0.8663
2023-07,SGD,AUD,1.154335
2023-07,AUD,NZD,1.0751
2023-07,NZD,AUD,0.930146
2023-07,AUD,JPY,92.7797
2023-07,JPY,AUD,0.010778
2023-07,AUD,CNY,4.6907
2023-07,CNY,AUD,0.213188
2023-08,AUD,USD,0.6482
2023-08,USD,AUD,1.542734
2023-08,AUD,EUR,0.5948
2023-08,EUR,AUD,1.681237
2023-08,AUD,GBP,0.5084
2023-08,GBP,AUD,1.966955
2023-08,AUD,SGD,0.8687
2023-08,SGD,AUD,1.151145
2023-08,AUD,NZD,1.1168
2023-08,NZD,AUD,0.895415
2023-08,AUD,JPY,96.4804
2023-08,JPY,AUD,0.010365
2023-08,AUD,CNY,4.6827
2023-08,CNY,AUD,0.213552
2023-09,AUD,USD,0.6386
2023-09,USD,AUD,1.565925
2023-09,AUD,EUR,0.6092
2023-09,EUR,AUD,1.641497
2023-09,AUD,GBP,0.5065
2023-09,GBP,AUD,1.974334
2023-09,AUD,SGD,0.8766
2023-09,SGD,AUD,1.140771
2023-09,AUD,NZD,1.1195
2023-09,NZD,AUD,0.893256
2023-09,AUD,JPY,96.4
2023-09,JPY,AUD,0.010373
2023-09,AUD,CNY,4.6671
2023-09,CNY,AUD,0.214266
2023-10,AUD,USD,0.6642
2023-10,USD,AUD,1.505571
2023-10,AUD,EUR,0.6137
2023-10,EUR,AUD,1.629461
2023-10,AUD,GBP,0.531
2023-10,GBP,AUD,1.883239
2023-10,AUD,SGD,0.866
2023-10,SGD,AUD,1.154734
2023-10,AUD,NZD,1.0716
2023-10,NZD,AUD,0.933184
2023-10,AUD,JPY,93.1545
2023-10,JPY,AUD,0.010735
2023-10,AUD,CNY,4.5803
2023-10,CNY,AUD,0.218326
2023-11,AUD,USD,0.6405
2023-11,USD,AUD,1.56128
2023-11,AUD,EUR,0.6177
2023-11,EUR,AUD,1.618909
2023-11,AUD,GBP,0.5351
2023-11,GBP,AUD,1.86881
2023-11,AUD,SGD,0.872
2023-11,SGD,AUD,1.146789
2023-11,AUD,NZD,1.1028
2023-11,NZD,AUD,0.906783
2023-11,AUD,JPY,93.9563
2023-11,JPY,AUD,0.010643
2023-11,AUD,CNY,4.7744
2023-11,CNY,AUD,0.20945
2023-12,AUD,USD,0.6529
2023-12,USD,AUD,1.531628
2023-12,AUD,EUR,0.5906
2023-12,EUR,AUD,1.693193
2023-12,AUD,GBP,0.5099
2023-12,GBP,AUD,1.961169
2023-12,AUD,SGD,0.8893
2023-12,SGD,AUD,1.12448
2023-12,AUD,NZD,1.0831
2023-12,NZD,AUD,0.923276
2023-12,AUD,JPY,95.8459
2023-12,JPY,AUD,0.010433
2023-12,AUD,CNY,4.7693
2023-12,CNY,AUD,0.209674
2024-01,AUD,USD,0.65
2024-01,USD,AUD,1.538462
2024-01,AUD,EUR,0.5888
2024-01,EUR,AUD,1.69837
2024-01,AUD,GBP,0.5399
2024-01,GBP,AUD,1.852195
2024-01,AUD,SGD,0.8857
2024-01,SGD,AUD,1.12905
2024-01,AUD,NZD,1.0745
2024-01,NZD,AUD,0.930665
2024-01,AUD,JPY,90.4712
2024-01,JPY,AUD,0.011053
2024-01,AUD,CNY,4.5329
2024-01,CNY,AUD,0.220609
2024-02,AUD,USD,0.6614
2024-02,USD,AUD,1.511944
2024-02,AUD,EUR,0.6117
2024-02,EUR,AUD,1.634788
2024-02,AUD,GBP,0.5169
2024-02,GBP,AUD,1.93461
2024-02,AUD,SGD,0.8544
2024-02,SGD,AUD,1.170412
2024-02,AUD,NZD,1.0891
2024-02,NZD,AUD,0.918189
2024-02,AUD,JPY,99.9612
2024-02,JPY,AUD,0.010004
2024-02,AUD,CNY,4.6587
2024-02,CNY,AUD,0.214652
2024-03,AUD,USD,0.6786
2024-03,USD,AUD,1.473622
2024-03,AUD,EUR,0.6144
2024-03,EUR,AUD,1.627604
2024-03,AUD,GBP,0.5005
2024-03,GBP,AUD,1.998002
2024-03,AUD,SGD,0.9005
2024-03,SGD,AUD,1.110494
2024-03,AUD,NZD,1.1041
2024-03,NZD,AUD,0.905715
2024-03,AUD,JPY,95.3697
2024-03,JPY,AUD,0.010486
2024-03,AUD,CNY,4.58
2024-03,CNY,AUD,0.218341
2024-04,AUD,USD,0.662
2024-04,USD,AUD,1.510574
2024-04,AUD,EUR,0.5845
2024-04,EUR,AUD,1.710864
2024-04,AUD,GBP,0.5174
2024-04,GBP,AUD,1.932741
2024-04,AUD,SGD,0.8818
2024-04,SGD,AUD,1.134044
2024-04,AUD,NZD,1.1177
2024-04,NZD,AUD,0.894694
2024-04,AUD,JPY,98.7585
2024-04,JPY,AUD,0.010126
2024-04,AUD,CNY,4.579
2024-04,CNY,AUD,0.218388
2024-05,AUD,USD,0.655
2024-05,USD,AUD,1.526718
2024-05,AUD,EUR,0.5871
2024-05,EUR,AUD,1.703287
2024-05,AUD,GBP,0.5365
2024-05,GBP,AUD,1.863933
2024-05,AUD,SGD,0.9109
2024-05,SGD,AUD,1.097815
2024-05,AUD,NZD,1.0849
2024-05,NZD,AUD,0.921744
2024-05,AUD,JPY,96.3895
2024-05,JPY,AUD,0.010375
2024-05,AUD,CNY,4.6827
2024-05,CNY,AUD,0.213552
2024-06,AUD,USD,0.6376
2024-06,USD,AUD,1.568381
2024-06,AUD,EUR,0.6105
2024-06,EUR,AUD,1.638002
2024-06,AUD,GBP,0.5216
2024-06,GBP,AUD,1.917178
2024-06,AUD,SGD,0.9045
2024-06,SGD,AUD,1.105583
2024-06,AUD,NZD,1.0965
2024-06,NZD,AUD,0.911993
2024-06,AUD,JPY,90.0057
2024-06,JPY,AUD,0.01111
2024-06,AUD,CNY,4.5972
2024-06,CNY,AUD,0.217524
2024-07,AUD,USD,0.631
2024-07,USD,AUD,1.584786
2024-07,AUD,EUR,0.6172
2024-07,EUR,AUD,1.62022
2024-07,AUD,GBP,0.5351
2024-07,GBP,AUD,1.86881
2024-07,AUD,SGD,0.9082
2024-07,SGD,AUD,1.101079
2024-07,AUD,NZD,1.0854
2024-07,NZD,AUD,0.921319
2024-07,AUD,JPY,90.5793
2024-07,JPY,AUD,0.01104
2024-07,AUD,CNY,4.7634
2024-07,CNY,AUD,0.209934
2024-08,AUD,USD,0.6773
2024-08,USD,AUD,1.476451
2024-08,AUD,EUR,0.5834
2024-08,EUR,AUD,1.71409
2024-08,AUD,GBP,0.5194
2024-08,GBP,AUD,1.925298
2024-08,AUD,SGD,0.8548
2024-08,SGD,AUD,1.169864
2024-08,AUD,NZD,1.108
2024-08,NZD,AUD,0.902527
2024-08,AUD,JPY,97.6583
2024-08,JPY,AUD,0.01024
2024-08,AUD,CNY,4.5385
2024-08,CNY,AUD,0.220337
2024-09,AUD,USD,0.6538
2024-09,USD,AUD,1.52952
2024-09,AUD,EUR,0.602
2024-09,EUR,AUD,1.66113
2024-09,AUD,GBP,0.5106
2024-09,GBP,AUD,1.95848
2024-09,AUD,SGD,0.9111
2024-09,SGD,AUD,1.097574
2024-09,AUD,NZD,1.0912
2024-09,NZD,AUD,0.916422
2024-09,AUD,JPY,92.118
2024-09,JPY,AUD,0.010856
2024-09,AUD,CNY,4.6618
2024-09,CNY,AUD,0.214509
2024-10,AUD,USD,0.6665
2024-10,USD,AUD,1.500375
2024-10,AUD,EUR,0.588
2024-10,EUR,AUD,1.70068
2024-10,AUD,GBP,0.5125
2024-10,GBP,AUD,1.95122
2024-10,AUD,SGD,0.9197
2024-10,SGD,AUD,1.087311
2024-10,AUD,NZD,1.1025
2024-10,NZD,AUD,0.907029
2024-10,AUD,JPY,94.381
2024-10,JPY,AUD,0.010595
2024-10,AUD,CNY,4.6553
2024-10,CNY,AUD,0.214809
2024-11,AUD,USD,0.6361
2024-11,USD,AUD,1.57208
2024-11,AUD,EUR,0.589
2024-11,EUR,AUD,1.697793
2024-11,AUD,GBP,0.5135
2024-11,GBP,AUD,1.94742
2024-11,AUD,SGD,0.8912
2024-11,SGD,AUD,1.122083
2024-11,AUD,NZD,1.0815
2024-11,NZD,AUD,0.924642
2024-11,AUD,JPY,92.2022
2024-11,JPY,AUD,0.010846
2024-11,AUD,CNY,4.5213
2024-11,CNY,AUD,0.221175
2024-12,AUD,USD,0.6616
2024-12,USD,AUD,1.511487
2024-12,AUD,EUR,0.5892
2024-12,EUR,AUD,1.697217
2024-12,AUD,GBP,0.5362
2024-12,GBP,AUD,1.864976
2024-12,AUD,SGD,0.9102
2024-12,SGD,AUD,1.09866
2024-12,AUD,NZD,1.0735
2024-12,NZD,AUD,0.931532
2024-12,AUD,JPY,92.38
2024-12,JPY,AUD,0.010825
2024-12,AUD,CNY,4.7007
2024-12,CNY,AUD,0.212734
2025-01,AUD,USD,0.6407
2025-01,USD,AUD,1.560793
2025-01,AUD,EUR,0.5853
2025-01,EUR,AUD,1.708526
2025-01,AUD,GBP,0.5374
2025-01,GBP,AUD,1.860811
2025-01,AUD,SGD,0.89
2025-01,SGD,AUD,1.123596
2025-01,AUD,NZD,1.0936
2025-01,NZD,AUD,0.914411
2025-01,AUD,JPY,97.8462
2025-01,JPY,AUD,0.01022
2025-01,AUD,CNY,4.7422
2025-01,CNY,AUD,0.210873
2025-02,AUD,USD,0.6395
2025-02,USD,AUD,1.563722
2025-02,AUD,EUR,0.5839
2025-02,EUR,AUD,1.712622
2025-02,AUD,GBP,0.5172
2025-02,GBP,AUD,1.933488
2025-02,AUD,SGD,0.8797
2025-02,SGD,AUD,1.136751
2025-02,AUD,NZD,1.0934
2025-02,NZD,AUD,0.914578
2025-02,AUD,JPY,97.2908
2025-02,JPY,AUD,0.010278
2025-02,AUD,CNY,4.702
2025-02,CNY,AUD,0.212675
2025-03,AUD,USD,0.6792
2025-03,USD,AUD,1.47232
2025-03,AUD,EUR,0.5839
2025-03,EUR,AUD,1.712622
2025-03,AUD,GBP,0.5161
2025-03,GBP,AUD,1.937609
2025-03,AUD,SGD,0.8738
2025-03,SGD,AUD,1.144427
2025-03,AUD,NZD,1.1131
2025-03,NZD,AUD,0.898392
2025-03,AUD,JPY,92.4866
2025-03,JPY,AUD,0.010812
2025-03,AUD,CNY,4.5571
2025-03,CNY,AUD,0.219438
2025-04,AUD,USD,0.6524
2025-04,USD,AUD,1.532802
2025-04,AUD,EUR,0.5969
2025-04,EUR,AUD,1.675322
2025-04,AUD,GBP,0.5111
2025-04,GBP,AUD,1.956564
2025-04,AUD,SGD,0.8675
2025-04,SGD,AUD,1.152738
2025-04,AUD,NZD,1.1162
2025-04,NZD,AUD,0.895897
2025-04,AUD,JPY,94.4313
2025-04,JPY,AUD,0.01059
2025-04,AUD,CNY,4.7584
2025-04,CNY,AUD,0.210155
2025-05,AUD,USD,0.6575
2025-05,USD,AUD,1.520913
2025-05,AUD,EUR,0.582
2025-05,EUR,AUD,1.718213
2025-05,AUD,GBP,0.54
2025-05,GBP,AUD,1.851852
2025-05,AUD,SGD,0.9085
2025-05,SGD,AUD,1.100715
2025-05,AUD,NZD,1.1184
2025-05,NZD,AUD,0.894134
2025-05,AUD,JPY,99.2637
2025-05,JPY,AUD,0.010074
2025-05,AUD,CNY,4.7546
2025-05,CNY,AUD,0.210323
2025-06,AUD,USD,0.6383
2025-06,USD,AUD,1.566661
2025-06,AUD,EUR,0.5994
2025-06,EUR,AUD,1.668335
2025-06,AUD,GBP,0.5085
2025-06,GBP,AUD,1.966568
2025-06,AUD,SGD,0.8781
2025-06,SGD,AUD,1.138822
2025-06,AUD,NZD,1.0729
2025-06,NZD,AUD,0.932053
2025-06,AUD,JPY,93.7897
2025-06,JPY,AUD,0.010662
2025-06,AUD,CNY,4.7956
2025-06,CNY,AUD,0.208524
2025-07,AUD,USD,0.6433
2025-07,USD,AUD,1.554485
2025-07,AUD,EUR,0.6114
2025-07,EUR,AUD,1.63559
2025-07,AUD,GBP,0.5182
2025-07,GBP,AUD,1.929757
2025-07,AUD,SGD,0.8796
2025-07,SGD,AUD,1.13688
2025-07,AUD,NZD,1.1179
2025-07,NZD,AUD,0.894534
2025-07,AUD,JPY,99.9542
2025-07,JPY,AUD,0.010005
2025-07,AUD,CNY,4.6667
2025-07,CNY,AUD,0.214284
2025-08,AUD,USD,0.6659
2025-08,USD,AUD,1.501727
2025-08,AUD,EUR,0.5862
2025-08,EUR,AUD,1.705902
2025-08,AUD,GBP,0.5119
2025-08,GBP,AUD,1.953507
2025-08,AUD,SGD,0.9178
2025-08,SGD,AUD,1.089562
2025-08,AUD,NZD,1.099
2025-08,NZD,AUD,0.909918
2025-08,AUD,JPY,95.422
2025-08,JPY,AUD,0.01048
2025-08,AUD,CNY,4.7244
2025-08,CNY,AUD,0.211667
2025-09,AUD,USD,0.6329
2025-09,USD,AUD,1.580028
2025-09,AUD,EUR,0.6034
2025-09,EUR,AUD,1.657275
2025-09,AUD,GBP,0.5201
2025-09,GBP,AUD,1.922707
2025-09,AUD,SGD,0.9097
2025-09,SGD,AUD,1.099263
2025-09,AUD,NZD,1.0779
2025-09,NZD,AUD,0.92773
2025-09,AUD,JPY,99.6078
2025-09,JPY,AUD,0.010039
2025-09,AUD,CNY,4.524
2025-09,CNY,AUD,0.221043
2025-10,AUD,USD,0.6393
2025-10,USD,AUD,1.564211
2025-10,AUD,EUR,0.6038
2025-10,EUR,AUD,1.656178
2025-10,AUD,GBP,0.527
2025-10,GBP,AUD,1.897533
2025-10,AUD,SGD,0.8665
2025-10,SGD,AUD,1.154068
2025-10,AUD,NZD,1.076
2025-10,NZD,AUD,0.929368
2025-10,AUD,JPY,98.9029
2025-10,JPY,AUD,0.010111
2025-10,AUD,CNY,4.5739
2025-10,CNY,AUD,0.218632
2025-11,AUD,USD,0.6597
2025-11,USD,AUD,1.515841
2025-11,AUD,EUR,0.6048
2025-11,EUR,AUD,1.653439
2025-11,AUD,GBP,0.5168
2025-11,GBP,AUD,1.934985
2025-11,AUD,SGD,0.8909
2025-11,SGD,AUD,1.12246
2025-11,AUD,NZD,1.0961
2025-11,NZD,AUD,0.912326
2025-11,AUD,JPY,99.3471
2025-11,JPY,AUD,0.010066
2025-11,AUD,CNY,4.5613
2025-11,CNY,AUD,0.219236
2025-12,AUD,USD,0.6658
2025-12,USD,AUD,1.501953
2025-12,AUD,EUR,0.5895
2025-12,EUR,AUD,1.696353
2025-12,AUD,GBP,0.5158
2025-12,GBP,AUD,1.938736
2025-12,AUD,SGD,0.897
2025-12,SGD,AUD,1.114827
2025-12,AUD,NZD,1.085
2025-12,NZD,AUD,0.921659
2025-12,AUD,JPY,93.1618
2025-12,JPY,AUD,0.010734
2025-12,AUD,CNY,4.7256
2025-12,CNY,AUD,0.211613
