segment_code,segment_name,family_code,family_name,class_code,class_name,commodity_code,commodity_name
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441112,Printers,44111201,Laser printers
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441112,Printers,44111202,Inkjet printers
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441112,Printers,44111203,Multifunction printers
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441112,Printers,44111204,Label printers
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441113,Copying machines,44111301,Digital photocopiers
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441113,Copying machines,44111302,Analogue copiers
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441113,Copying machines,44111303,Wide format copiers
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441115,Projectors,44111501,Data projectors
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441115,Projectors,44111502,Overhead projectors
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441115,Projectors,44111503,Short throw projectors
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441120,Shredders,44112001,Cross cut shredders
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441120,Shredders,44112002,Strip cut shredders
44,Office Equipment and Accessories and Supplies,4411,Office machines and their supplies and accessories,441120,Shredders,44112003,Micro cut shredders
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441213,Paper products,44121301,A4 copy paper
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441213,Paper products,44121302,A3 copy paper
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441213,Paper products,44121303,Letterhead paper
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441213,Paper products,44121304,Envelopes
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441213,Paper products,44121305,Notepads
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441215,Ink and toner and related supplies,44121501,Laser toner cartridges
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441215,Ink and toner and related supplies,44121502,Inkjet cartridges
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441215,Ink and toner and related supplies,44121503,Printer ribbons
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441215,Ink and toner and related supplies,44121504,Drum units
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441214,Writing instruments,44121401,Ballpoint pens
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441214,Writing instruments,44121402,Permanent markers
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441214,Writing instruments,44121403,Highlighters
44,Office Equipment and Accessories and Supplies,4412,Office supplies,441214,Writing instruments,44121404,Correction fluid
44,Office Equipment and Accessories and Supplies,4413,Filing products,441317,Binders and binding supplies,44131701,Ring binders
44,Office Equipment and Accessories and Supplies,4413,Filing products,441317,Binders and binding supplies,44131702,Lever arch files
44,Office Equipment and Accessories and Supplies,4413,Filing products,441317,Binders and binding supplies,44131703,Binding covers
44,Office Equipment and Accessories and Supplies,4413,Filing products,441317,Binders and binding supplies,44131704,Index dividers
44,Office Equipment and Accessories and Supplies,4413,Filing products,441316,Filing folders and labels,44131601,Manila folders
44,Office Equipment and Accessories and Supplies,4413,Filing products,441316,Filing folders and labels,44131602,Hanging files
44,Office Equipment and Accessories and Supplies,4413,Filing products,441316,Filing folders and labels,44131603,Document wallets
44,Office Equipment and Accessories and Supplies,4413,Filing products,441316,Filing folders and labels,44131604,File labels
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431521,Network switches,43152101,Managed ethernet switches
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431521,Network switches,43152102,Unmanaged switches
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431521,Network switches,43152103,PoE switches
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431521,Network switches,43152104,Core switches
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431522,Routers,43152201,Enterprise routers
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431522,Routers,43152202,SOHO routers
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431522,Routers,43152203,Core routers
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431522,Routers,43152204,Edge routers
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431523,Wireless access points,43152301,Indoor access points
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431523,Wireless access points,43152302,Outdoor access points
43,Information Technology Broadcasting and Telecommunications,4315,Data Voice or Multimedia Network Equipment or Platforms,431523,Wireless access points,43152303,Mesh access points
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432101,Desktop computers,43210101,Standard desktop PCs
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432101,Desktop computers,43210102,All-in-one desktops
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432101,Desktop computers,43210103,Workstation desktops
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432101,Desktop computers,43210104,Mini PCs
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432102,Laptop computers,43210201,Business laptops
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432102,Laptop computers,43210202,Gaming laptops
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432102,Laptop computers,43210203,Ultrabooks
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432102,Laptop computers,43210204,2-in-1 laptops
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432103,Computer monitors,43210301,LCD monitors
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432103,Computer monitors,43210302,Curved monitors
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432103,Computer monitors,43210303,4K monitors
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432103,Computer monitors,43210304,Ultrawide monitors
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432106,Computer storage devices,43210601,Solid state drives
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432106,Computer storage devices,43210602,Hard disk drives
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432106,Computer storage devices,43210603,USB flash drives
43,Information Technology Broadcasting and Telecommunications,4321,Computer Equipment and Accessories,432106,Computer storage devices,43210604,External drives
43,Information Technology Broadcasting and Telecommunications,4323,Software,432301,Business function software,43230101,ERP software
43,Information Technology Broadcasting and Telecommunications,4323,Software,432301,Business function software,43230102,CRM software
43,Information Technology Broadcasting and Telecommunications,4323,Software,432301,Business function software,43230103,Accounting software
43,Information Technology Broadcasting and Telecommunications,4323,Software,432301,Business function software,43230104,HR management software
43,Information Technology Broadcasting and Telecommunications,4323,Software,432302,Security software,43230201,Antivirus software
43,Information Technology Broadcasting and Telecommunications,4323,Software,432302,Security software,43230202,Firewall software
43,Information Technology Broadcasting and Telecommunications,4323,Software,432302,Security software,43230203,Endpoint protection
43,Information Technology Broadcasting and Telecommunications,4323,Software,432302,Security software,43230204,Identity management
43,Information Technology Broadcasting and Telecommunications,4316,Telecommunications equipment,431601,Telephone equipment,43160101,IP desk phones
43,Information Technology Broadcasting and Telecommunications,4316,Telecommunications equipment,431601,Telephone equipment,43160102,Conference phones
43,Information Technology Broadcasting and Telecommunications,4316,Telecommunications equipment,431601,Telephone equipment,43160103,Headsets
43,Information Technology Broadcasting and Telecommunications,4316,Telecommunications equipment,431601,Telephone equipment,43160104,VoIP handsets
43,Information Technology Broadcasting and Telecommunications,4316,Telecommunications equipment,431602,Mobile devices,43160201,Smartphones
43,Information Technology Broadcasting and Telecommunications,4316,Telecommunications equipment,431602,Mobile devices,43160202,Tablets
43,Information Technology Broadcasting and Telecommunications,4316,Telecommunications equipment,431602,Mobile devices,43160203,Mobile hotspots
43,Information Technology Broadcasting and Telecommunications,4316,Telecommunications equipment,431602,Mobile devices,43160204,Rugged devices
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781010,Air freight services,78101001,International air freight
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781010,Air freight services,78101002,Domestic air freight
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781010,Air freight services,78101003,Express air courier
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781010,Air freight services,78101004,Air charter services
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781011,Ocean freight services,78101101,Full container load
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781011,Ocean freight services,78101102,Less than container load
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781011,Ocean freight services,78101103,Break bulk shipping
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781011,Ocean freight services,78101104,Roll-on roll-off
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781012,Road freight services,78101201,Full truck load
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781012,Road freight services,78101202,Less than truck load
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781012,Road freight services,78101203,Express road freight
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781012,Road freight services,78101204,Refrigerated road freight
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781013,Rail freight services,78101301,Intermodal rail freight
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781013,Rail freight services,78101302,Bulk rail freight
78,Transportation and Storage and Mail Services,7810,Mail and cargo transport,781013,Rail freight services,78101303,Container rail freight
78,Transportation and Storage and Mail Services,7814,Passenger transport,781401,Air passenger transport,78140101,Domestic airfares
78,Transportation and Storage and Mail Services,7814,Passenger transport,781401,Air passenger transport,78140102,International airfares
78,Transportation and Storage and Mail Services,7814,Passenger transport,781401,Air passenger transport,78140103,Business class airfares
78,Transportation and Storage and Mail Services,7814,Passenger transport,781401,Air passenger transport,78140104,Charter flights
78,Transportation and Storage and Mail Services,7814,Passenger transport,781402,Ground passenger transport,78140201,Taxi services
78,Transportation and Storage and Mail Services,7814,Passenger transport,781402,Ground passenger transport,78140202,Ride share services
78,Transportation and Storage and Mail Services,7814,Passenger transport,781402,Ground passenger transport,78140203,Bus charter
78,Transportation and Storage and Mail Services,7814,Passenger transport,781402,Ground passenger transport,78140204,Limousine services
78,Transportation and Storage and Mail Services,7830,Storage,783001,Warehousing services,78300101,General warehousing
78,Transportation and Storage and Mail Services,7830,Storage,783001,Warehousing services,78300102,Temperature controlled storage
78,Transportation and Storage and Mail Services,7830,Storage,783001,Warehousing services,78300103,Bonded warehousing
78,Transportation and Storage and Mail Services,7830,Storage,783001,Warehousing services,78300104,Fulfilment services
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801012,Strategy consulting,80101201,Strategic planning
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801012,Strategy consulting,80101202,Market entry strategy
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801012,Strategy consulting,80101203,Organisational design
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801012,Strategy consulting,80101204,Change management
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801013,Financial consulting,80101301,Financial due diligence
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801013,Financial consulting,80101302,Valuations
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801013,Financial consulting,80101303,Transaction advisory
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801013,Financial consulting,80101304,Working capital optimisation
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801015,Human resources consulting,80101501,Talent management consulting
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801015,Human resources consulting,80101502,Remuneration benchmarking
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801015,Human resources consulting,80101503,Workforce planning
80,Management and Business Professionals and Administrative Services,8010,Management advisory services,801015,Human resources consulting,80101504,Leadership assessment
80,Management and Business Professionals and Administrative Services,8011,Legal services,801116,Corporate legal services,80111601,Contract drafting
80,Management and Business Professionals and Administrative Services,8011,Legal services,801116,Corporate legal services,80111602,M&A legal advice
80,Management and Business Professionals and Administrative Services,8011,Legal services,801116,Corporate legal services,80111603,Compliance advice
80,Management and Business Professionals and Administrative Services,8011,Legal services,801116,Corporate legal services,80111604,Intellectual property
80,Management and Business Professionals and Administrative Services,8013,Business administration services,801315,Accounting services,80131501,External audit
80,Management and Business Professionals and Administrative Services,8013,Business administration services,801315,Accounting services,80131502,Tax compliance
80,Management and Business Professionals and Administrative Services,8013,Business administration services,801315,Accounting services,80131503,Bookkeeping services
80,Management and Business Professionals and Administrative Services,8013,Business administration services,801315,Accounting services,80131504,Payroll processing
80,Management and Business Professionals and Administrative Services,8013,Business administration services,801316,Recruitment services,80131601,Permanent recruitment
80,Management and Business Professionals and Administrative Services,8013,Business administration services,801316,Recruitment services,80131602,Executive search
80,Management and Business Professionals and Administrative Services,8013,Business administration services,801316,Recruitment services,80131603,Contract staffing
80,Management and Business Professionals and Administrative Services,8013,Business administration services,801316,Recruitment services,80131604,Casual labour hire
81,Engineering and Research and Technology Based Services,8110,Engineering services,811011,Civil engineering,81101101,Structural engineering
81,Engineering and Research and Technology Based Services,8110,Engineering services,811011,Civil engineering,81101102,Geotechnical engineering
81,Engineering and Research and Technology Based Services,8110,Engineering services,811011,Civil engineering,81101103,Traffic engineering
81,Engineering and Research and Technology Based Services,8110,Engineering services,811011,Civil engineering,81101104,Hydraulic engineering
81,Engineering and Research and Technology Based Services,8110,Engineering services,811012,Mechanical engineering,81101201,Process engineering
81,Engineering and Research and Technology Based Services,8110,Engineering services,811012,Mechanical engineering,81101202,HVAC engineering
81,Engineering and Research and Technology Based Services,8110,Engineering services,811012,Mechanical engineering,81101203,Piping engineering
81,Engineering and Research and Technology Based Services,8110,Engineering services,811012,Mechanical engineering,81101204,Rotating equipment
81,Engineering and Research and Technology Based Services,8110,Engineering services,811013,Electrical engineering,81101301,Power systems design
81,Engineering and Research and Technology Based Services,8110,Engineering services,811013,Electrical engineering,81101302,Instrumentation design
81,Engineering and Research and Technology Based Services,8110,Engineering services,811013,Electrical engineering,81101303,High voltage engineering
81,Engineering and Research and Technology Based Services,8110,Engineering services,811013,Electrical engineering,81101304,Substation design
81,Engineering and Research and Technology Based Services,8111,Research and development,811111,Applied research,81111101,Laboratory research services
81,Engineering and Research and Technology Based Services,8111,Research and development,811111,Applied research,81111102,Pilot plant studies
81,Engineering and Research and Technology Based Services,8111,Research and development,811111,Applied research,81111103,Technology assessment
81,Engineering and Research and Technology Based Services,8111,Research and development,811111,Applied research,81111104,Feasibility studies
81,Engineering and Research and Technology Based Services,8111,Research and development,811112,Development services,81111201,Prototype development
81,Engineering and Research and Technology Based Services,8111,Research and development,811112,Development services,81111202,Product testing
81,Engineering and Research and Technology Based Services,8111,Research and development,811112,Development services,81111203,Clinical trials
81,Engineering and Research and Technology Based Services,8111,Research and development,811112,Development services,81111204,Product validation
81,Engineering and Research and Technology Based Services,8113,IT consulting,811315,Information technology consultation services,81131501,IT architecture consulting
81,Engineering and Research and Technology Based Services,8113,IT consulting,811315,Information technology consultation services,81131502,Cloud migration consulting
81,Engineering and Research and Technology Based Services,8113,IT consulting,811315,Information technology consultation services,81131503,Cybersecurity consulting
81,Engineering and Research and Technology Based Services,8113,IT consulting,811315,Information technology consultation services,81131504,Data analytics consulting
72,Building and Construction and Maintenance Services,7210,Construction services,721011,Commercial construction,72101101,Office fit-out
72,Building and Construction and Maintenance Services,7210,Construction services,721011,Commercial construction,72101102,Retail fit-out
72,Building and Construction and Maintenance Services,7210,Construction services,721011,Commercial construction,72101103,Industrial construction
72,Building and Construction and Maintenance Services,7210,Construction services,721011,Commercial construction,72101104,Healthcare construction
